price,datetime,market_cap,volume
101466.8606657039,2025-02-04 00:00:00,2011121374511.8835,122163969235.23686
98118.43921664466,2025-02-05 00:00:00,1943535291172.1597,73196693057.98114
96582.88682919052,2025-02-06 00:00:00,1912584628590.309,48848958931.79228
96635.41875332211,2025-02-07 00:00:00,1915093756057.5637,44462180396.172516
96558.4563096667,2025-02-08 00:00:00,1911296376425.356,57077722340.22422
96558.23762501091,2025-02-09 00:00:00,1914211835440.1182,20760850644.84597
96548.57865379585,2025-02-10 00:00:00,1913068773356.083,25457107581.051964
97399.98161383197,2025-02-11 00:00:00,1930742951090.367,37054987393.57789
95739.97737079239,2025-02-12 00:00:00,1898788887978.3252,36454577154.5622
97836.18856127483,2025-02-13 00:00:00,1936842454813.9983,47115618235.19051
96561.6639990985,2025-02-14 00:00:00,1914315097486.3862,29084371910.690556
97488.48148536457,2025-02-15 00:00:00,1931656846871.4856,32289906944.92862
97569.95169430465,2025-02-16 00:00:00,1934308378710.2861,14215311318.346336
96149.3484548204,2025-02-17 00:00:00,1905012222220.3691,13634794998.739267
95776.15723852723,2025-02-18 00:00:00,1898997753781.9536,25324374113.08163
95495.89153299287,2025-02-19 00:00:00,1892702154844.508,38311133144.729355
96554.87156259285,2025-02-20 00:00:00,1914337919659.5537,27703222487.389572
98384.31738240314,2025-02-21 00:00:00,1950376106325.3228,24175261969.81266
96135.15541305285,2025-02-22 00:00:00,1906058197506.3809,42477472950.92155
96564.15414290235,2025-02-23 00:00:00,1915260330870.798,18464415570.762142
96327.46309127835,2025-02-24 00:00:00,1909625674815.4763,16643044374.983364
91396.76686930266,2025-02-25 00:00:00,1814176779160.4363,45539703844.38777
88755.7693356979,2025-02-26 00:00:00,1759750360550.3337,96742453402.56294
83900.11496524839,2025-02-27 00:00:00,1664314955447.7466,69277430795.68657
84709.14477847965,2025-02-28 00:00:00,1679555320077.2097,81960688217.70384
84441.9012237131,2025-03-01 00:00:00,1674754437110.342,80695237175.07367
86005.25629681018,2025-03-02 00:00:00,1705564098300.8237,30634474722.6359
94261.53286538439,2025-03-03 00:00:00,1868321705444.4878,61859112550.80991
86124.71418722175,2025-03-04 00:00:00,1708198960874.3418,68715362745.4567
87310.80531078295,2025-03-05 00:00:00,1731441668069.6523,65863356680.42408
90604.08098523637,2025-03-06 00:00:00,1797706868227.531,51606642859.81411
90001.40087607042,2025-03-07 00:00:00,1782785866811.654,47555759124.64708
86773.33597555371,2025-03-08 00:00:00,1720436931689.2776,63216440874.73251
86142.9833586432,2025-03-09 00:00:00,1708605516770.228,18809360803.37126
80751.13893300897,2025-03-10 00:00:00,1602073794580.0344,32013406240.51754
78783.94057934263,2025-03-11 00:00:00,1563547150147.7332,49983692766.22745
82799.1080292053,2025-03-12 00:00:00,1642997419531.6057,56404462275.083046
